标题,链接,服务,dsr,店铺名,价格,付款人数,发货地,好评率,动态评分,店铺类型,店铺等级
新西兰moemoe羊毛被子100%纯羊毛绒保暖加厚冬双人春秋羊绒芯,https://item.taobao.com/item.htm?id=577281277351&ns=1&abbucket=10#detail,"15天退换,公益宝贝,",红红红,sywwgg,999.00,28人收货,江苏 无锡,好评率：99.69%,"100.00%,100.00%,100.00%,",淘宝c店,4钻
恒源祥澳洲100%纯羊毛被冬被冬季被子被芯6斤9斤加厚保暖春秋心,https://detail.tmall.com/item.htm?id=558098828419&ns=1&abbucket=10,"天猫,",红红红,恒源祥锦昌专卖店,229.00,27人收货,,,"9.99%,22.15%,27.93%,",天猫店,
2018韩式风新款秋冬保暖被羊毛被保暖被双人冬被,https://item.taobao.com/item.htm?id=577148635980&ns=1&abbucket=10#detail,"金牌卖家,",蓝蓝黄,shijianhuaa,149.00,27人收货,江苏 南通,好评率：99.14%,"1.27%,0.77%,0.00%,",淘宝c店,1冠
博洋家纺 澳洲进口100%羊毛被子冬被保暖加厚全棉芯单双人秋冬,https://detail.tmall.com/item.htm?id=558584594614&ns=1&abbucket=10,"天猫,",黄红红,博洋家纺旗舰店,799.00,27人收货,浙江 宁波,,"0.00%,18.25%,25.06%,",天猫店,
水漾纯羊毛被 保暖加厚秋冬被芯 单双人保暖被子棉被澳洲双人芯,https://detail.tmall.com/item.htm?id=521449796620&ns=1&abbucket=10,"天猫,",红红红,水漾家纺旗舰店,119.00,27人收货,江苏 南通,,"24.39%,45.25%,51.56%,",天猫店,
博洋家纺 羊毛被加厚保暖冬被单人学生宿舍被子双人春秋芯,https://detail.tmall.com/item.htm?id=45826924989&ns=1&abbucket=10,"天猫,",黄红红,博洋家纺旗舰店,219.00,26人收货,浙江 宁波,,"0.00%,18.25%,25.06%,",天猫店,
水星家纺100%澳洲羊毛被冬被加厚保暖双人被芯冬季被子秋冬,https://detail.tmall.com/item.htm?id=42521948007&ns=1&abbucket=10,"天猫,",黄黄红,水星旗舰店,539.00,26人收货,上海,,"0.00%,0.00%,8.26%,",天猫店,
恒源祥羊毛被100%澳洲纯羊毛被冬被春秋被加厚保暖学生单双人芯,https://item.taobao.com/item.htm?id=576961717317&ns=1&abbucket=10#detail,"15天退换,公益宝贝,",红红红,俊皓家纺88,158.00,25人收货,江苏 南通,好评率：99.50%,"91.59%,100.00%,100.00%,",淘宝c店,1钻
富安娜澳洲羊毛被子被芯春秋被保暖加厚被褥单人双人1.8m床冬厚,https://item.taobao.com/item.htm?id=571682547855&ns=1&abbucket=10#detail,"金牌卖家,",红红红,馨而乐家纺,399.00,25人收货,广东 深圳,好评率：99.47%,"1.38%,13.76%,18.52%,",企业店铺,1冠
水星家纺羊毛被冬被澳洲羊毛被加厚保暖双人被芯冬季被子戈尔兹,https://detail.tmall.com/item.htm?id=557252454299&ns=1&abbucket=10,"天猫,",黄黄红,水星旗舰店,529.00,25人收货,上海,,"0.00%,0.00%,8.26%,",天猫店,
正品恒源祥羊毛被100%澳洲纯羊毛加厚保暖单双人羊绒冬春秋子,https://item.taobao.com/item.htm?id=577126917432&ns=1&abbucket=10#detail,"15天退换,公益宝贝,",红红红,奇缘家纺98,159.00,25人收货,江苏 苏州,好评率：97.78%,"71.50%,100.00%,100.00%,",淘宝c店,2钻
羊毛被冬被100%澳洲羊绒被双人被子被芯加厚8斤驼毛礼品子,https://item.taobao.com/item.htm?id=523754504454&ns=1&abbucket=10#detail,,蓝蓝蓝,水星国际888,88.00,24人收货,江苏 南通,好评率：98.98%,"3.16%,1.70%,1.06%,",淘宝c店,1冠
南极人被子被芯空调被羊毛被棉被双人冬被太空被单人宿舍春秋褥,https://detail.tmall.com/item.htm?id=559223574281&ns=1&abbucket=10,"天猫,",黄黄红,南极人家纺旗舰店,239.00,24人收货,上海,,"0.00%,0.00%,11.97%,",天猫店,
富安娜家纺圣之花防螨澳洲进口羊毛被子冬天单双人1.8米床品芯,https://detail.tmall.com/item.htm?id=573862326401&ns=1&abbucket=10,"天猫,",黄黄红,富安娜官方旗舰店,469.00,24人收货,,,"0.00%,0.00%,7.22%,",天猫店,
恒源祥羊毛被100%澳洲纯羊毛全棉加厚保暖春秋被冬冬季芯8斤,https://item.taobao.com/item.htm?id=575076849695&ns=1&abbucket=10#detail,"15天退换,公益宝贝,",红红红,0小伟08,298.00,23人收货,上海,好评率：98.48%,"100.00%,100.00%,100.00%,",淘宝c店,2钻
罗莱家纺床上用品羊毛被子被芯加厚冬被双人1.5米保暖冬季秋冬,https://detail.tmall.com/item.htm?id=575680415632&ns=1&abbucket=10,"天猫,",红红红,罗莱官方旗舰店,1280.00,23人收货,江苏 南通,,"3.37%,8.65%,13.93%,",天猫店,
艾维家纺被子100%羊毛被秋冬被子加厚保暖冬被双人冬天棉芯,https://detail.tmall.com/item.htm?id=557253517579&ns=1&abbucket=10,"天猫,",红红红,艾维家纺旗舰店,268.00,23人收货,江苏 南通,,"38.63%,48.34%,50.60%,",天猫店,
小绵羊澳洲羊毛被子100%纯羊毛品牌冬天单人双人加厚保暖芯冬,https://detail.tmall.com/item.htm?id=556598366870&ns=1&abbucket=10,"天猫,",黄红红,小绵羊床品旗舰店,629.00,23人收货,上海,,"0.00%,14.49%,15.49%,",天猫店,
100%澳洲纯羊毛被子加厚保暖冬被纯棉被芯学生单双人婚庆春秋褥,https://item.taobao.com/item.htm?id=576754580878&ns=1&abbucket=10#detail,"15天退换,公益宝贝,",红红红,幸运星5880,58.00,22人收货,上海,好评率：98.57%,"100.00%,100.00%,18.91%,",淘宝c店,4钻
羊羔绒毛绒被芯春秋被加厚单双人冬季法兰绒毛毯冬羊绒子,https://item.taobao.com/item.htm?id=558064601590&ns=1&abbucket=10#detail,,红红红,xue2he,66.00,22人收货,江苏 南通,好评率：98.71%,"27.42%,30.16%,48.39%,",淘宝c店,5钻
驼毛被子冬被芯加厚保暖羽丝绒棉被心单双人正品羊毛冬季驼绒,https://item.taobao.com/item.htm?id=525572356070&ns=1&abbucket=10#detail,"15天退换,",红红红,fyafei,168.00,21人收货,上海,好评率：99.83%,"59.78%,63.72%,52.33%,",淘宝c店,1冠
淘宝心选100%澳洲抗菌60支纯棉提花纯细羊毛被,https://detail.tmall.com/item.htm?id=568379020271&ns=1&abbucket=10,"icon-fest-taobaoxinxuan,天猫直送,",红红红,淘宝心选,499.90,21人收货,浙江 嘉兴,,"18.92%,24.89%,30.41%,",天猫店,
恒源祥羊毛被100%纯羊毛冬被加厚保暖正品全棉春秋澳洲羊绒子,https://item.taobao.com/item.htm?id=576835089100&ns=1&abbucket=10#detail,"公益宝贝,",蓝蓝蓝,乐淘财8888,108.00,21人收货,上海,好评率：99.63%,"1.15%,1.82%,1.77%,",淘宝c店,1钻
正品100%纯驼绒被子冬被驼毛被加厚冬被被子羊绒被芯单双人定做,https://item.taobao.com/item.htm?id=577337805536&ns=1&abbucket=10#detail,"公益宝贝,",红红红,清河冰少,320.00,21人收货,河北 邢台,好评率：98.20%,"71.17%,65.32%,65.83%,",淘宝c店,4钻
罗莱家纺100%羊毛冬被子被芯单双人保暖W暖绒羊毛Ⅱ 淘,https://detail.tmall.com/item.htm?id=538253432171&ns=1&abbucket=10,"天猫,",红红红,罗莱官方旗舰店,899.00,21人收货,江苏 南通,,"3.37%,8.65%,13.93%,",天猫店,
炫耀水星家纺全棉加厚羊毛被正品100%纯羊毛冬被芯子母保暖褥,https://item.taobao.com/item.htm?id=556390327753&ns=1&abbucket=10#detail,"金牌卖家,",红红红,小而美家纺馆,260.00,21人收货,江苏 南通,好评率：99.78%,"94.88%,96.48%,94.80%,",淘宝c店,3钻
多喜爱秋冬新品羊毛被磨毛冬被双人被子尼克蓄胆多层【J】,https://detail.tmall.com/item.htm?id=575947634437&ns=1&abbucket=10,"天猫,",黄红红,多喜爱旗舰店,798.00,21人收货,上海,,"0.00%,2.79%,17.10%,",天猫店,
莱恩斯克澳洲纯羊毛被子被芯加厚保暖冬被棉被单人褥双人春秋,https://detail.tmall.com/item.htm?id=577458160041&ns=1&abbucket=10,"天猫,",黄红红,莱恩斯克旗舰店,139.00,21人收货,江苏 南通,,"0.00%,10.00%,22.29%,",天猫店,
恋人水星羊毛被100%纯羊绒冬被加厚保暖秋冬季6/8/10斤单双人芯,https://item.taobao.com/item.htm?id=577405245257&ns=1&abbucket=10#detail,"公益宝贝,",蓝蓝蓝,浩然家纺1999,178.00,20人收货,江苏 南通,好评率：95.28%,"3.75%,2.95%,2.74%,",淘宝c店,4钻
北极绒100%澳洲纯羊毛冬被被芯加厚保暖冬天6斤被子双人春秋褥,https://detail.tmall.com/item.htm?id=559352842933&ns=1&abbucket=10,"天猫,",黄黄黄,北极绒家纺旗舰店,169.00,20人收货,上海,,"0.00%,0.00%,0.00%,",天猫店,
恒源祥羊毛被100%纯羊毛羊绒被芯澳洲冬被全棉春秋单双人加厚保暖,https://item.taobao.com/item.htm?id=566142921342&ns=1&abbucket=10#detail,"15天退换,公益宝贝,",红红红,精品床上用品大卖场,88.00,20人收货,,好评率：99.09%,"76.67%,62.59%,63.14%,",淘宝c店,4心
羊毛被100%澳洲纯羊毛加厚保暖单双人纯棉羊绒被春秋冬包邮,https://item.taobao.com/item.htm?id=577376067041&ns=1&abbucket=10#detail,,红红红,yzhmao,1180.00,20人收货,江苏 南通,好评率：96.27%,"84.92%,81.86%,82.12%,",淘宝c店,2冠
唯有100%羊毛被冬被芯双人加厚保暖单人棉被宿舍学生,https://detail.tmall.com/item.htm?id=575699715543&ns=1&abbucket=10,"天猫,",红红红,唯有家纺旗舰店,199.00,19人收货,江苏 南通,,"84.46%,64.13%,88.15%,",天猫店,
水星家纺 细羊毛被冬被加厚保暖双人被子1.8米床被芯 新臻品,https://detail.tmall.com/item.htm?id=521037552664&ns=1&abbucket=10,"天猫,",黄黄红,水星旗舰店,449.00,19人收货,上海,,"0.00%,0.00%,8.26%,",天猫店,
恒源祥澳洲羊毛被全棉被羊绒被子加厚冬被单双人子母褥芯冬季,https://detail.tmall.com/item.htm?id=557035813880&ns=1&abbucket=10,"天猫,",黄黄红,恒源祥雅乐专卖店,229.00,19人收货,,,"0.00%,0.00%,9.73%,",天猫店,
定制澳毛纯羊毛被加厚被子保暖被芯双人羊绒被单人正品春秋冬褥,https://item.taobao.com/item.htm?id=576187643598&ns=1&abbucket=10#detail,"公益宝贝,",红红红,清河县容舍家纺有限公司,239.00,19人收货,,好评率：100.00%,"100.00%,83.76%,84.00%,",企业店铺,2心
高端大豆纤维冬被棉被芯加厚保暖8斤全棉羊绒质感S+云春秋正品,https://item.taobao.com/item.htm?id=575911966962&ns=1&abbucket=10#detail,"icon-service-jiyoujia,金牌卖家,15天退换,公益宝贝,",红红红,zzqixiu,392.70,19人收货,江苏 南通,好评率：99.54%,"50.12%,59.20%,58.86%,",企业店铺,1冠
水星家纺 蚕丝羊毛二合一被秋冬子母被芯单双人全棉冬被加厚保暖,https://detail.tmall.com/item.htm?id=576010859895&ns=1&abbucket=10,"天猫,",黄黄红,水星旗舰店,1199.00,19人收货,上海,,"0.00%,0.00%,8.26%,",天猫店,
